,NAME,CUISINE_LVL1,CUISINE_LVL2,CUISINE_LVL3,COST
9632,Maanas Wine And Dine,North Indian,Chinese,Italian,High
9633,Pure Punjabi Dhaba,North Indian,Chinese,,High
9634,The Dosa House,South Indian,,,Low
9635,Mother Kitchen,North Indian,,,Low
9636,Amritsariya,North Indian,,,High
9637,Ruchi Hotel,North Indian,South Indian,Fast Food,Low
9638,The Friends Kitchen,North Indian,,,High
9639,Ambrosia Kitchen,Chinese,Continental,Indian,Low
9640,Bakeology,Bakery,Desserts,,Low
9641,Trisha,North Indian,Chinese,Fast Food,Low
9642,Siddhivinayak Hotel,North Indian,Chinese,,High
9643,Gary'S,Bakery,Desserts,Fast Food,Low
9644,Shiv Krupa,Chinese,South Indian,Street Food,High
9645,Mirchii Restaurant,North Indian,Mughlai,Seafood,High
9646,Sadguru Bar & Restaurant,North Indian,Chinese,Seafood,High
9648,Jaini Foods,Mithai,Fast Food,,Low
9649,Cookies & Chocolate Baskets By Fiestas,Bakery,,,Low
9650,Apna Kitchen,North Indian,Chinese,,High
9651,Bakestruck,Bakery,Desserts,,Low
9652,Pink Flavour Family Restaurant & Bar,North Indian,Mughlai,Seafood,High
9653,Parfait,Desserts,,,Low
9654,Veg Planet,Fast Food,,,Low
9655,Darshan Ice Cream,Desserts,Ice Cream,,Low
9656,Geetanjali Juice & Chinese Corner,Chinese,Juices,,High
9657,Mumbai Zaika,Fast Food,,,Low
9658,Hotel Amrut,North Indian,Chinese,Seafood,High
9659,Malwani Maze,Malwani,Seafood,North Indian,Low
9660,Not Just Juice,Beverages,Juices,,Low
9661,Balaji Dosa Centre,South Indian,Fast Food,,Low
9662,Hotel Omkar,South Indian,North Indian,Fast Food,High
9664,Hotel Swami,North Indian,Chinese,,Low
9665,Sai Fast Food Centre,Chinese,Fast Food,,Low
9666,Star Of Cochin,North Indian,Kerala,Chinese,High
9667,Gokul  Bangali Sweets,Mithai,,,Low
9668,City Bakers,Fast Food,Bakery,,Low
9669,Himson Dryfruit & Sweets,Fast Food,Mithai,,Low
9670,Powai Sweet & Milk Centre,Mithai,,,Low
9671,Vidya Food,North Indian,Street Food,,Low
9672,The Delivery Kitchen,Fast Food,,,High
9673,Onyyx Mithai,Desserts,,,Low
9674,Royal Treat Chinese Restro,Chinese,North Indian,,Low
9675,Shree Krishna Fast Food,North Indian,,,Low
9676,Bricks N Sand,North Indian,,,High
9677,Heartonlush Natural Smoothie,Beverages,,,Low
9678,Chatak - Cha Chavicha Seawoods,Maharashtrian,,,Low
9680,Char Coal Bytes,North Indian,,,Low
9681,Societea,Sandwich,Street Food,Tea,Low
9682,Biryani Factory,Biryani,Hyderabadi,,Low
9683,Red Chilli Veggies,North Indian,Chinese,Fast Food,Low
9684,Ambika Vijay Stores,Fast Food,Mithai,Beverages,Low
9685,Mesa Deli - Svenska  Design Hotel,North Indian,Continental,Chinese,High
9686,Vicky Juice Centre,Chinese,Fast Food,,Low
9687,Shree Sai Prasad,North Indian,Chinese,,High
9688,Kumar'S Receipe Cake Cafe,Bakery,Desserts,Fast Food,Low
9689,New Cake Cafe,Desserts,Fast Food,Bakery,Low
9690,Hotel Makhdoomi,North Indian,,,High
9691,Tnp Dum Biryani,Biryani,North Indian,Chinese,High
9692,New York Pizza & Fried Chicken,Pizza,Fast Food,,High
9693,Nirvan Frankie,Fast Food,,,Low
9694,Sainath Juice Center,Street Food,Juices,,Low
9696,Nayaks Food Court,North Indian,Chinese,,High
9697,I Love Babycakes,Bakery,Desserts,,Low
9698,Hotel Jyoti Kitchen,North Indian,Chinese,,High
9699,Asha,Chinese,,,Low
9700,Saideep Snacks Corner,Fast Food,Pizza,,Low
9701,Geeta Bhavan,South Indian,North Indian,Chinese,Low
9702,Whats Upp,Chinese,,,High
9703,Anadata Aahar Kendra,Street Food,Chinese,,Low
9704,Shree Vrundavan Hotel,South Indian,Fast Food,Beverages,Low
9705,O! Fudge,Bakery,Healthy Food,,Low
9706,Street Food Of Mumbai,Fast Food,,,Low
9707,Fat Is Flavour,Desserts,,,Low
9708,Sky Cafe,Fast Food,Chinese,,Low
9709,Hotel Swagat,Chinese,Seafood,,Low
9710,Sanjay Bar And Restaurant,Chinese,North Indian,,Low
9712,Baker'S Zone,Desserts,Bakery,,Low
9713,Hotel Kashmira,Chinese,North Indian,,Low
9714,For Heaven'S Cakes,Bakery,Desserts,,Low
9715,Lisha Pav Bhaji,Chinese,Street Food,,Low
9716,S.N. Food Sweets & Farsan,Mithai,,,Low
9717,Aai Snacks Corner,Street Food,Maharashtrian,,Low
9718,36 China Town,North Indian,Chinese,Mughlai,Low
9719,Shiv Shakti,South Indian,Fast Food,Chinese,Low
9720,Modkam Pure Veg,North Indian,Street Food,Beverages,High
9721,Man Mohan Mithaiwala,Mithai,Street Food,,Low
9722,Matosree Gharghuti Bhojnalay,Maharashtrian,,,Low
9723,Saikrupa Snacks Corner,North Indian,Chinese,Fast Food,Low
9724,Royal Spice,North Indian,Chinese,,High
9725,Radha Krishna,North Indian,Chinese,Seafood,High
9726,Rajsthani Bhojanalaya,Rajasthani,Fast Food,,Low
9728,Utsav Chinese Fast Food,Chinese,,,Low
9729,Mekde - The Cake Shop,Bakery,Desserts,,Low
9730,Choice Bakers & Fast Food,Fast Food,Bakery,North Indian,Low
9731,The Green Stove,Bakery,Desserts,,Low
9732,Shetty Ice Cream,Ice Cream,,,Low
9733,Green Field,North Indian,Mughlai,,Low
9734,Trupti Chinese Corner,Chinese,,,Low
9735,Jai Maharashta Vada Pav,Street Food,,,Low
9736,Hotel Galaxy,North Indian,Chinese,Biryani,High
9737,Hot Pot,Chinese,North Indian,,Low
9738,Shree Laxmi Restaurant,North Indian,Chinese,Fast Food,Low
9739,Rassam Express,South Indian,Fast Food,,Low
9740,Shakti,Chinese,North Indian,,High
9741,Sri Krishna,North Indian,South Indian,Fast Food,High
9742,Hotel Chandraprakash,North Indian,South Indian,Fast Food,Low
9744,Hotel Veg Land,Chinese,Fast Food,North Indian,High
9745,Hotel Ambika,Chinese,North Indian,Seafood,High
9746,Cafe Kausar,Chinese,North Indian,,Low
9747,Bombay Lunch Home,North Indian,Malwani,Maharashtrian,Low
9748,Chinese Point,Chinese,,,Low
9749,Cafe Lucky,North Indian,Chinese,Mughlai,Low
9750,Sai Amrut,Chinese,North Indian,Biryani,High
9751,Prarthana Hotel,North Indian,Chinese,,Low
9752,Vijay Shree,Chinese,Street Food,North Indian,High
9753,Suraj Restaurant & Bar,Chinese,North Indian,Seafood,High
9754,China Gate,Chinese,,,High
9755,Shetty'S,South Indian,Street Food,North Indian,High
9756,Shri Krishna Sagar,South Indian,North Indian,Chinese,Low
9757,Udipi,South Indian,North Indian,Fast Food,Low
9758,Shratika Lunch Home,North Indian,Seafood,,Low
9760,Banarasi,Chinese,North Indian,South Indian,Low
9761,China Royal,Chinese,North Indian,Seafood,Low
9762,Quality Chinese,Chinese,,,High
9763,Hotel Vaishali,North Indian,South Indian,Chinese,High
9764,City Life Next,Chinese,North Indian,,High
9765,New Krishna,North Indian,Chinese,Seafood,High
9766,Hotel Shiv Sagar,Fast Food,North Indian,South Indian,High
9767,Hotel Satish Restaurant & Bar,Chinese,North Indian,,Low
9768,Athirath Restaurant & Bar,Chinese,Mughlai,North Indian,High
9769,Tarang Food Corner,Chinese,Fast Food,Street Food,High
9770,Sai Prasad,Chinese,North Indian,Seafood,Low
9771,Hotel Saraswati,North Indian,South Indian,Chinese,Low
9772,Shree Krishna Fast Food,Chinese,,,Low
9773,9 Spice,Chinese,North Indian,Fast Food,Low
9774,China Camp Fast Food,Chinese,,,Low
9776,Burma  Burma,Asian,Burmese,,High
9777,Poetry By Love & Cheesecake,Cafe,Desserts,,High
9778,Rajdhani,Gujarati,Rajasthani,North Indian,High
9779,Vedge,Thai,Chinese,North Indian,High
9780,K Bhagat Tarachand,North Indian,Beverages,,High
9781,Kyani & Co.,Parsi,Bakery,,Low
9782,Supreme Restaurant,North Indian,Mughlai,Chinese,High
9783,Dakshin Culture Curry,South Indian,Chettinad,Hyderabadi,High
9784,Mandarin Vibes,Asian,Chinese,North Indian,High
9785,Nawab-E-Dilli - Kitchen & Bar,Thai,Biryani,Chinese,High
9786,Khurshid Pav Bhaaji,Street Food,Fast Food,,Low
9787,Mughal Dhaba,North Indian,Mughlai,Chinese,High
9788,Fod - Food On Delivery,North Indian,Asian,Pizza,Low
9789,Gateway,North Indian,South Indian,Chinese,High
9790,Lazeez Desi Tadka,North Indian,Chinese,,High
9792,Meridian,North Indian,Chinese,Fast Food,High
9793,Udipi Shree Krishna,South Indian,North Indian,,Low
9794,Cafe Krishna,South Indian,North Indian,Chinese,High
9795,Jyoti Bar Restaurant,North Indian,Chinese,Biryani,High
9796,Rajesh Restaurant & Bar,North Indian,Chinese,Malwani,Low
9797,Hotel Uma,North Indian,South Indian,Chinese,Low
9798,Pingara,North Indian,Chinese,Seafood,High
9799,Hotel Vasanth,North Indian,Chinese,South Indian,High
9800,Adarsh,North Indian,Chinese,Mughlai,High
9801,Banwait'S Food Court,North Indian,Chinese,Biryani,Low
9802,Vasant Refreshments,South Indian,North Indian,Chinese,High
9803,Harmeet Bar & Restaurant,North Indian,Chinese,Mughlai,High
9804,Choice Chinese Corner,North Indian,Chinese,Seafood,Low
9805,Little Hut,Fast Food,North Indian,,Low
9806,Trami,Kashmiri,Mughlai,North Indian,High
