,NAME,CUISINE_LVL1,CUISINE_LVL2,CUISINE_LVL3,COST
0,Hitchki,Modern Indian,North Indian,Chinese,High
1,Baba Falooda,Desserts,Ice Cream,Beverages,Low
2,Chin Chin Chu,Asian,Chinese,,High
3,Butterfly High,Modern Indian,,,High
4,Bkc  Dive,North Indian,Chinese,Continental,High
5,Flea Bazaar Café,American,Asian,Street Food,High
6,Persian Darbar,Biryani,North Indian,Chinese,High
7,Tanatan,Modern Indian,,,High
8,Cafe Safar,Chinese,North Indian,Biryani,High
9,Plum By Bent Chair,Asian,,,High
10,Angrezi Dhaba,North Indian,Chinese,Thai,High
11,Raasta,Continental,Seafood,Fast Food,High
12,Todi Mill Social,American,North Indian,Chinese,High
13,Burn - Bar & Kitchen,Continental,Mexican,Italian,High
14,145 Bandra,Mexican,American,Desserts,High
16,Cafe Zoe,European,Italian,Burger,High
17,Ustaadi,Asian,Biryani,Chinese,High
18,Cafe Maaz,Chinese,North Indian,Mughlai,Low
19,Carter'S Blue,North Indian,Lebanese,Fast Food,High
20,Rajasthan,North Indian,Mughlai,Chinese,High
21,Harry'S Bar + Cafe,Asian,Mexican,American,High
22,New Ajwa Family Restaurant,North Indian,Chinese,Mughlai,High
23,Singh Saab,North Indian,Asian,,High
24,Kasbah Grand,North Indian,Mughlai,Chinese,High
25,Elementaria Bakery Cafe,Cafe,Desserts,Sandwich,High
26,Angrezi Patiyalaa,North Indian,Finger Food,American,High
27,Door No.1,Asian,Italian,North Indian,High
28,Natural Ice Cream,Desserts,Ice Cream,,Low
29,Punjab Grill,North Indian,Mughlai,Beverages,High
30,Locco Eatery & Bar,North Indian,Continental,Lebanese,High
32,Hotel Annapoorna Refreshments,Maharashtrian,Mughlai,Chinese,Low
33,Breadkart,Fast Food,,,Low
34,Biryani 9,Biryani,North Indian,,High
35,The Lemon Grass,North Indian,Chinese,,Low
36,D Fusion Flavours,Chinese,,,Low
37,Chote Nawab,North Indian,Chinese,,High
38,Hari Om Sai,Beverages,Fast Food,,Low
39,Nation Tadka,North Indian,South Indian,Chinese,Low
40,Persian Hub Family Restaurant,Chinese,Mughlai,North Indian,High
41,Magdalena,Bakery,Desserts,,High
42,United Food Nation,Fast Food,Burger,American,High
43,Frisbees,Fast Food,American,Burger,High
44,Bombay Vintage,North Indian,South Indian,Maharashtrian,High
45,Arya Bhavan,South Indian,Fast Food,,Low
46,Chaubara 601,North Indian,,,High
48,Queen Margherita'S Pizzeria,Pizza,Fast Food,,High
49,The Burger Brasserie,Cafe,Fast Food,Burger,High
50,Spice Republic,Cafe,Continental,Mediterranean,High
51,Fleur - The Fern Goregaon,Thai,Continental,North Indian,High
52,Cat Café Studio,Cafe,Beverages,,Low
53,Thotrin Cafe,North Eastern,Chinese,,High
54,Udipi Vihar,North Indian,Chinese,South Indian,High
55,B Mad - The Restaurant,North Indian,Italian,Mexican,High
56,Landmark Restaurant Veg Diet,North Indian,Chinese,South Indian,High
57,Matka Khichdi,North Indian,,,Low
58,Aavakay,Andhra,South Indian,,High
59,Little West Pizza,Pizza,,,High
60,Prashant Corner,Mithai,Street Food,,Low
61,Viaan,North Indian,Chinese,,High
62,Deepak,South Indian,North Indian,Chinese,High
64,Sarvodaya Pure Veg,Chinese,South Indian,North Indian,High
65,Street Gourmet,North Indian,Chinese,Street Food,High
66,Downtown China,Chinese,Thai,,High
67,West Coast Grill,American,Italian,Burger,High
68,Ray'S Cafe & Pizzeria,Italian,Pizza,Fast Food,High
69,The Yellow Chilli,North Indian,Mughlai,,High
70,Wok Express,Chinese,Asian,Thai,High
71,Kuai Kitchen,Chinese,Japanese,Thai,High
72,Dale'S Eden Cake Shop,Bakery,Desserts,,High
73,La Folie Lab,Cafe,Healthy Food,Desserts,High
74,Kusum Rolls,North Indian,Rolls,,Low
75,Jimmy Boy,Parsi,North Indian,Fast Food,High
76,Ceremonial Kitchen & Co,Seafood,Maharashtrian,North Indian,High
77,Markaz Restaurant,North Indian,Chinese,Biryani,High
78,Royal Garden,Chinese,North Indian,Mughlai,High
80,New Mezban Restaurant,Chinese,North Indian,,High
81,Vishwa Lunch Home,North Indian,South Indian,Chinese,Low
82,Agrawal'S Juice N Fast Food,Fast Food,Juices,,Low
83,Link  Way Restaurant,North Indian,Chinese,,High
84,Lajawab Kabab Corner,Kebab,Fast Food,,Low
85,Rajyog,North Indian,Chinese,Seafood,High
86,Ruchi,North Indian,Seafood,Chinese,High
87,Star Of China,Chinese,,,High
88,Kababchini,North Indian,Seafood,Malwani,High
89,Renault Bar & Restaurant,Chinese,North Indian,Thai,High
90,Hotel Amrut Punjab,North Indian,Chinese,,High
91,Sai Leela Hotel,Mughlai,North Indian,,High
92,Scooper N Shakker,Desserts,Ice Cream,,Low
93,China 65,North Indian,Fast Food,South Indian,Low
94,Supreme Chinese,Chinese,Fast Food,,Low
96,The Fiesta,American,Italian,Fast Food,High
97,Tempting Food,North Indian,South Indian,Mughlai,High
98,Mr Kalam,Chinese,Mughlai,,Low
99,Appetite - Resto Bar,North Indian,Chinese,,High
100,Oriental Origins,Chinese,Thai,Fast Food,Low
101,Sirf 160,North Indian,Continental,Italian,High
102,The Good Bowl,Asian,Biryani,North Indian,High
103,Kitchen Table,Continental,French,Indian,High
104,51 Rainbow Ice Cream & Shakes,Desserts,Ice Cream,Beverages,Low
105,The Dark Kitchen,Chinese,North Indian,Seafood,High
106,Mokart,Momos,Chinese,Fast Food,Low
107,The Bukhara Kitchen,North Indian,Biryani,Desserts,Low
108,China Hut,Chinese,,,Low
109,Chicago Waffles & Shakes,Desserts,Beverages,,Low
110,Chilli Dilli,Asian,Chinese,North Indian,Low
112,Roshan Bakery,Bakery,Fast Food,,Low
113,Shree Prasad Lunch Home,North Indian,Chinese,Street Food,High
114,Fudboy,Thai,Chinese,,High
115,Pink Sugar,Bakery,Desserts,,High
116,Goregaon Kitchen,North Indian,Chinese,,Low
117,Twisted L.A,Sandwich,Healthy Food,Desserts,Low
118,Cafe Falak,Chinese,Biryani,Rolls,High
119,The Burger Pit,American,,,High
120,Stir Fry Grill,Chinese,Thai,,High
121,Tazza,Fast Food,Chinese,,Low
122,Saroj,South Indian,North Indian,Chinese,High
123,Popular,Fast Food,Sandwich,Beverages,Low
124,Rolls On Coals,Fast Food,Rolls,,Low
125,Too Much Drama,Fast Food,Roast Chicken,BBQ,High
126,Italy In A Box,Italian,Pizza,Continental,High
128,Cafe Monza,Italian,American,Salad,High
129,Dp'S The Fast Food Centre,Chinese,Fast Food,South Indian,High
130,Shobhaa Only Veg,Chinese,North Indian,,High
131,Kathi Kabab Roll,Fast Food,Rolls,,Low
132,Cakes & Rolls,Desserts,Bakery,,Low
133,Mm Mithaiwala,Mithai,Street Food,,Low
134,Casa De Cafe,Cafe,Fast Food,,High
135,Pefe,Cafe,Italian,Mexican,High
136,Taco Bell,Mexican,American,,High
137,The Budapest Bakehouse,Desserts,Fast Food,,Low
138,King'S Shawarma,Fast Food,,,Low
139,Mystery Box,Chinese,Thai,,High
140,Mama Mia!,Chinese,Pizza,Fast Food,High
141,Laxman'S Om Vada Pav,Street Food,,,Low
142,Blue Tokai Coffee Roasters,Cafe,,,High
144,Da Capo Cafe & Bistro,Continental,Mexican,Cafe,High
145,Gypsy Corner,Street Food,Maharashtrian,Fast Food,Low
146,Mao The Family Restaurant,Chinese,North Indian,,High
147,Sizzle House Dine In,North Indian,Italian,Mexican,High
148,Biryani Guru,Biryani,North Indian,Mughlai,High
149,The Northern Vibe,Momos,Rolls,Fast Food,Low
150,Radha Krishna,South Indian,North Indian,Chinese,High
151,Indiana Water'S,Chinese,North Indian,Seafood,High
152,Flax,Healthy Food,Beverages,,High
153,Navya - The Regale By Tunga,North Indian,Chinese,Thai,High
154,The Pantry,Cafe,Healthy Food,Salad,High
155,Felicita,Fast Food,Italian,Bakery,High
156,Vanilla Beans,Bakery,Desserts,,High
157,Farmhouse Sea N Sand,North Indian,Continental,Seafood,High
158,Nav Gomantak,Seafood,Maharashtrian,Goan,High
160,Batman Night Kitchen,Fast Food,Mughlai,Kebab,Low
161,Tosha,Biryani,North Indian,,Low
162,Pushpa Punjab,North Indian,Chinese,Mughlai,High
163,Heritage,Chinese,North Indian,,High
164,Kebab Junction,Mughlai,North Indian,Seafood,Low
165,New Cafe Gulshan,North Indian,Mughlai,,Low
166,Yahoo The Chinese Cuisine,Chinese,,,Low
167,The Coastal Family Restaurant And Bar,North Indian,South Indian,Chinese,High
168,Midnight Express,Burger,Fast Food,Italian,High
169,Red Chilly Restaurant,Chinese,,,Low
170,Roll Factory,Fast Food,Lebanese,Rolls,Low
171,Hotel Sneha,Mughlai,North Indian,Seafood,High
172,Hotel Shashikant,Chinese,North Indian,Mughlai,High
173,Golden Plate,North Indian,Chinese,,High
174,Lata Restaurant,North Indian,Chinese,Fast Food,High
176,Royal Garden,North Indian,Chinese,Seafood,High
177,Hungry Nights,Biryani,North Indian,Chinese,Low
178,The Kitchen Crew,North Indian,Chinese,,High
179,Being Panda,Chinese,,,High
180,Daily Cafe,North Indian,Continental,Chinese,High
181,Shree Narayan Fine Dinning,North Indian,South Indian,Chinese,High
182,Kitchen In Kloud,North Indian,Chinese,Continental,High
183,Kebabwala,North Indian,Chinese,,High
184,Mugshot Kitchen & Bar,North Indian,Chinese,Seafood,High
185,Bhukha Bhediya,Chinese,Continental,North Indian,High
186,Dessert Therapy,Desserts,,,Low
187,Sarovar Restaurant & Bar,North Indian,Continental,Chinese,High
188,Ronak Fine Dine,North Indian,Chinese,,High
189,Hotel Tunga,North Indian,Chinese,,Low
190,Powaikar'S Cafe & Restaurant,North Indian,Chinese,Malwani,Low
192,Pot De Fusion,North Indian,Chinese,Continental,High
193,House Of Lloyd,Goan,Seafood,BBQ,High
194,The Market Project By Pizzaexpress,Italian,Continental,,High
195,D:Oh!,Fast Food,Italian,Beverages,High
196,Culinary Tales,Chinese,European,Continental,High
197,Duma Dum Mast Kalandar,Sindhi,,,High
198,Bachelorr'S,Beverages,Fast Food,Desserts,High
199,Malhar Lunch Home,North Indian,Seafood,Mughlai,High
200,Quench - All Day Pub,Continental,Chinese,Asian,High
201,Terttulia,Italian,Continental,,High
202,Dum & Curry,Mughlai,North Indian,Chinese,High
203,Third Eye Cafe,Continental,Burger,Chinese,High
204,Mehman Nawazi,North Indian,,,High
205,Meraki,Chinese,Burmese,Thai,High
206,Eat Play Love,Italian,Fast Food,,High
208,Food Magic,Fast Food,Rolls,Beverages,Low
209,24 Pie,Bakery,,,High
210,Hotel Mayur,Chinese,North Indian,Seafood,High
211,Jalsaa Food Corner,Chinese,Fast Food,,High
212,Sips N Bite,American,Desserts,Fast Food,Low
213,Jumboking,Fast Food,Burger,,Low
214,Himalaya Punjab,North Indian,Chinese,,High
215,Prabhu Ice Cream,Ice Cream,Desserts,Beverages,Low
216,Rehmani,Chinese,Seafood,North Indian,Low
217,Hazara Restaurant & Bar,North Indian,Chinese,Mughlai,High
218,Krème De La Krème - The Gelateria,Desserts,Ice Cream,Beverages,Low
219,Aroma Family Restaurant & Bar,North Indian,Mughlai,Chinese,High
220,Flip Bar & Kitchen,Chinese,North Indian,,High
221,The Tangy Tandoor,North Indian,Mughlai,Rolls,High
222,Parimal'S Kitchen,Chinese,North Indian,,High
224,The China Village,Chinese,Seafood,Thai,High
225,Tokyo Treat,Japanese,Sushi,,High
226,Wtf!,North Indian,Chinese,Continental,High
227,Green Tadka,North Indian,Chinese,South Indian,High
228,Archana Restaurant,Chinese,North Indian,South Indian,High
229,Satkar Rice Plate House,Malwani,Seafood,Biryani,High
230,Hrezzo,North Indian,Chinese,Continental,High
231,Joss,Japanese,Asian,,High
232,Veg Canteen,North Indian,Continental,South Indian,High
233,Gypsy Chinese,Chinese,Thai,Seafood,High
234,Daawat,North Indian,Chinese,Mughlai,High
235,Laxmi Balaji Snacks Corner,Fast Food,,,Low
236,Nomada,American,,,High
237,Zaika Restaurant & Party Hall,North Indian,Chinese,Beverages,High
238,Royal China,Asian,Chinese,,High
240,India Bistro,North Indian,Mughlai,Biryani,High
241,Le Café,Cafe,European,Italian,High
242,Mani'S Lunch Home,South Indian,,,Low
243,Sadguru Veg Diet,North Indian,Chinese,,High
244,Trupti,South Indian,Fast Food,Maharashtrian,Low
245,Govinda'S Restaurant,North Indian,Chinese,,High
246,Pride Kitchen Hyderabadi Biryani,Biryani,Mughlai,,High
247,Whacko Taco,Mexican,,,Low
248,Dhaba Cafe,Cafe,Italian,Burger,High
249,Natural Fresh Ice-Cream,Desserts,Ice Cream,,Low
250,The American Joint,Healthy Food,American,Mexican,High
251,The Butter Kitchen,North Indian,Mughlai,,High
252,Chulha,North Indian,Chinese,Biryani,High
253,Mocambo Cafe,Italian,Continental,,High
254,Jp'S Lunch Home,Malwani,South Indian,North Indian,High
256,Dum Matka,North Indian,Biryani,,High
257,Kanakia Darbar Restaurant,Seafood,Chinese,North Indian,High
258,Nakabandi,Wraps,Biryani,North Indian,High
259,Merwans Cake Stop,Bakery,Fast Food,Desserts,Low
260,Al-Falah Shawarma,Lebanese,,,Low
261,Rk'S Meals N More,North Indian,South Indian,Healthy Food,Low
262,Dumpling Delights,Momos,,,Low
263,Pine Restaurant,Chinese,North Indian,,High
264,Farmhouse Global Cuisine Restaurant,North Indian,Continental,Seafood,High
265,Silver Oaks,Chinese,Continental,Mughlai,High
266,Cafe Irani Chaii,Parsi,Iranian,,Low
267,On Toes,North Indian,Italian,Chinese,High
268,Cafe Orritel,North Indian,Chinese,,High
269,Sanjhi,Chinese,Thai,Street Food,High
270,Ashok Vada Pav Stall,Street Food,,,Low
272,Lucky Sandwich And Pizza Corner,Fast Food,,,Low
273,Jhakas,Chinese,Mughlai,North Indian,High
274,Brownie Point,Desserts,,,Low
275,The Yoga House,Cafe,Healthy Food,,High
276,Raisin,Continental,,,High
277,Bakers,Bakery,Fast Food,,Low
278,China Bistro,Asian,Chinese,Thai,High
279,Global Culture,North Indian,Continental,Italian,High
280,Borivali Biryani Centre,North Indian,Chinese,Mexican,High
281,Thackers,Gujarati,Italian,North Indian,High
282,Mumbai Palace Kitchen & Bar,North Indian,Chinese,Seafood,High
283,Sequel Bistro & Juice Bar,Cafe,Healthy Food,,High
284,Red Indian Sizzlers,Chinese,Italian,Mexican,High
285,Arfat,North Indian,Chinese,Biryani,High
286,The Post Box,North Indian,Chinese,Pizza,High
288,Veggies,North Indian,Chinese,South Indian,High
289,Pastovilla,North Indian,Italian,Mexican,High
290,Suruchi,South Indian,North Indian,Chinese,High
291,Ek Aur Baar,North Indian,Chinese,,High
292,Sagar Chinese,Chinese,North Indian,,High
293,Q 'N' Q,North Indian,Mughlai,Chinese,High
294,Varanda Kitchen & Bar,Chinese,North Indian,Seafood,High
295,Lagoon,Chinese,North Indian,Mughlai,High
296,New Apollo,North Indian,Mughlai,Chinese,Low
297,Sealand,Chinese,North Indian,Seafood,High
298,Hotel Uday,North Indian,Chinese,South Indian,High
299,Sagar Bar & Restaurant,North Indian,Chinese,Biryani,High
300,Delhi Misthan,North Indian,,,Low
301,Kings Lal Killa Family Restaurant,North Indian,Chinese,,High
302,Hotel Sahara,Chinese,North Indian,Biryani,High
304,Munna Restaurant,Chinese,Fast Food,North Indian,Low
305,Le Gateau,Bakery,,,Low
306,Grand Maratha,North Indian,Malwani,Chinese,High
307,Garnish,North Indian,South Indian,Chinese,High
308,Sai Pooja,Chinese,North Indian,,Low
309,Blue Sky,North Indian,Chinese,Seafood,High
310,Vaishali Refreshment,North Indian,Chinese,,Low
311,Colombo,Chinese,North Indian,,Low
312,The Kitchen & Bar,North Indian,Chinese,,High
313,Greendeed,Healthy Food,Salad,,Low
314,Hogg Quarter'S,Fast Food,Beverages,,High
315,Durwa,North Indian,Maharashtrian,Chinese,High
316,Blue Heaven Bombay Lounge,Chinese,Continental,North Indian,High
317,Ice Cream Works,Ice Cream,,,Low
318,China Town,Chinese,,,Low
320,Kulfi Shakes - By The Foodie Nawab,Desserts,Beverages,Ice Cream,Low
321,Planet Food,North Indian,,,High
322,Chandok Shubham Fast Food,Chinese,,,Low
323,Chaudhary Tadka,North Indian,Chinese,,High
324,Sardarji'S Kitchen,North Indian,,,High
325,D Katta Family Restaurant,North Indian,Chinese,,Low
326,Dhadoom,North Indian,Fast Food,,High
327,Bombay Sandwich Company,Sandwich,Fast Food,Beverages,Low
328,Pachinco,Coffee,Beverages,,Low
329,The London Shakes,Beverages,Fast Food,,Low
330,Punjabi Grill,North Indian,,,Low
331,Istreetfood,Street Food,South Indian,Fast Food,Low
332,Classic,North Indian,Chinese,Mughlai,High
333,Sip-N-Dine,North Indian,Mughlai,Chinese,High
334,Zaytoni,Chinese,North Indian,Seafood,High
336,Kirti Mahal,South Indian,Chinese,North Indian,High
337,Utsav Cuisine,North Indian,Chinese,,High
338,Lucky Dragon,Chinese,,,High
339,Cantonese,Chinese,,,High
340,Viagoa,Seafood,Maharashtrian,Malwani,High
341,Zesty Kitchen,North Indian,Maharashtrian,Konkan,High
342,Dosti Yaari,Continental,Fast Food,Beverages,Low
343,212 All Good,European,Healthy Food,Italian,High
344,Benzy'S Restaurant,North Indian,Chinese,Mughlai,High
345,Asian Spices The Restaurant,Chinese,North Indian,Thai,High
346,Hotel Sunny,Kerala,Chinese,North Indian,High
347,Between Breads,Cafe,American,Burger,High
348,Chill'Antro,Asian,American,,High
349,Ice Cream Works,Desserts,Ice Cream,Beverages,Low
350,Via Bombay,North Indian,Chinese,Maharashtrian,High
352,Asian Street Kitchen,Chinese,Thai,Vietnamese,High
353,Soy Street,Asian,Chinese,,High
354,101'S Maggie,Fast Food,,,Low
355,Light Of Bharat,North Indian,Biryani,Parsi,High
356,Cafe Hydro,Asian,,,High
357,Invento,Chinese,Fast Food,North Indian,High
358,Booze On Moods - The Bistro Bar,Chinese,North Indian,Seafood,High
359,Kampa,Chinese,Thai,Seafood,High
360,Peetuk,Biryani,Bengali,,Low
361,Wazwaan,North Indian,Chinese,Mughlai,High
362,Dark Temptations,Bakery,Desserts,,Low
363,Serotonin - The Kitchen,Continental,Healthy Food,,High
364,Burrito Factory,Mexican,Tex-Mex,Salad,High
365,Food Bites,South Indian,Fast Food,,High
366,Bhagat Tarachand,North Indian,Street Food,Fast Food,High
368,Bar Tales,Continental,Italian,Mexican,High
369,Aquafire Restaurant,North Indian,Continental,Chinese,High
370,Pizzaah! District,Pizza,Fast Food,,High
371,Sweetish House Mafia,Bakery,Desserts,,Low
372,Goila Butter Chicken,North Indian,Biryani,Mughlai,High
373,Quarter Pillar,Chinese,North Indian,Seafood,High
374,Nom Nom,Asian,Singaporean,Indonesian,High
375,Bistro 1,European,Burger,Salad,High
376,Granville Greens,Mexican,South Indian,Italian,High
377,Turkey Central,Turkish,Arabian,Mughlai,High
378,Keiba,Sushi,Japanese,Chinese,High
379,Sigdi,Mughlai,North Indian,Chinese,High
380,Shabari,North Indian,Chinese,South Indian,High
381,British Brewing Company,British,Italian,Burger,High
382,Rodeo Pizza,Pizza,,,High
384,Ph Se Food,North Indian,Continental,Chinese,High
385,Saucy Side Up,Chinese,,,High
386,Ratnakokan,Seafood,Maharashtrian,Malwani,High
387,Genuine Broaster Chicken,Continental,Asian,American,High
388,Dabba Garam,North Indian,,,Low
389,Farmhouse Funfiesta,Chinese,Italian,Continental,High
390,Saikrupa Amritsar Kulcha,Street Food,,,Low
391,Sandrich,Fast Food,Street Food,Pizza,Low
392,The Darjeeling,Chinese,Momos,Tea,High
393,Sandwizzaa,Sandwich,Fast Food,,Low
394,Sweet Bengal,Desserts,Mishti,Mithai,Low
395,The Lab,North Indian,Chinese,Continental,High
396,Idlish - Idli Dosa Relish,South Indian,Tamil,,Low
397,Janta Bar N Restaurant,North Indian,Chinese,Seafood,High
398,Aqua Family Restro Bar,Chinese,North Indian,Mughlai,High
400,Sanjay Ice Cream,Desserts,Ice Cream,,Low
401,Spize & Grillz,Mughlai,Chinese,,High
402,Burrp,Continental,Chinese,North Indian,High
403,Bismillah,North Indian,Maharashtrian,,High
404,The Matka Chef,North Indian,,,Low
405,Baba Hotel & Lunch Home,North Indian,Chinese,,Low
406,Sezzan Restaurant,Chinese,North Indian,Kebab,High
407,Sudarshan Lunch Home,South Indian,North Indian,Chinese,High
408,Amma'S,North Indian,Chinese,South Indian,High
409,Prem'S,Chinese,Thai,North Indian,High
410,Apple In Kitchen,Chinese,North Indian,,High
411,The Hangout Pizza Hub,Pizza,Fast Food,,Low
412,Thalis And Combos,North Indian,Chinese,Maharashtrian,High
413,Let'S Go Eat,Bakery,Desserts,,High
414,The Local Eatery,Chinese,Thai,North Indian,High
416,Kettle & Kegs,Tea,Beverages,,Low
417,Tanki Bar + Kitchen,Biryani,North Indian,Chinese,High
418,Grub Hub,North Indian,Fast Food,Rolls,High
419,Chowpaty Kulfi,Ice Cream,Desserts,,Low
420,Just Rice,South Indian,North Indian,,Low
421,The Chef 24X7,Fast Food,Mughlai,,High
422,Hotel Sohan Palace Family Resto-Bar,North Indian,Chinese,Fast Food,High
423,More'S Family Restaurant & Bar,North Indian,Chinese,South Indian,High
424,Mauja,North Indian,Chinese,Biryani,High
425,Cafe Coffee Time,Cafe,American,Asian,High
426,Pohewala,Fast Food,Maharashtrian,,Low
427,Happytite,Chinese,North Indian,,High
428,Bambooz Family Restaurant & Bar,Chinese,North Indian,,High
429,Noor Sahab,North Indian,Chinese,Seafood,High
430,Cafe Naaz,North Indian,Chinese,Biryani,High
432,Brewers Bay,Continental,Mexican,Italian,High
433,Shuruwat- Veg Food Journey,Continental,Tea,South Indian,High
434,Pride Kitchen Hyderabadi Biryani,North Indian,Biryani,,High
435,Blossom - The Fusion Spot,North Indian,Chinese,Fast Food,High
436,Nischita Nxt,North Indian,Chinese,Biryani,High
437,Kokan Swad,Malwani,North Indian,Awadhi,High
438,Gupta Ice Cream,Desserts,,,Low
439,Nothing But Chicken,Fast Food,,,Low
440,Poushtikk Box,North Indian,,,High
441,Pizza Bite,Pizza,Fast Food,,High
442,The Waffle Point,Desserts,Bakery,Cafe,Low
443,Kabila,North Indian,Mughlai,Chinese,High
444,Oh! Calcutta,Bengali,Seafood,,High
445,D'Crepes Cafe,Cafe,Salad,Healthy Food,High
446,Xotik Cafe,Cafe,Continental,,High
448,Portico,Continental,Italian,Mexican,High
449,Badri'S,Chinese,North Indian,Seafood,High
450,Cafe Runway,Cafe,Pizza,Burger,High
451,Talli,Continental,European,Italian,High
452,1993 The Container Kitchen,North Indian,Chinese,Mughlai,High
453,Desi Videsi,North Indian,South Indian,Fast Food,Low
454,Kailash Parbat,North Indian,South Indian,Chinese,High
455,Khane Khas,North Indian,Kebab,Biryani,High
456,Mumbai Magic,North Indian,Chinese,Continental,Low
457,The Dressing Co.,Salad,Healthy Food,,High
458,Hotel Popular,South Indian,North Indian,Fast Food,High
459,Royale Masterchef Finedine And Bar,North Indian,Asian,Continental,High
460,Cafe Istaa,Cafe,Desserts,Italian,High
461,Enrich Ice Cream,Ice Cream,,,Low
462,Sorriso Indian Kitchen &  Bar,North Indian,Chinese,Continental,High
464,Stove - The Vegetarian Kitchen,Mexican,Italian,Lebanese,High
465,Mucho,Continental,Juices,Beverages,High
466,Fresh Food Co.,Continental,Healthy Food,Salad,High
467,Swad Maharashtracha,Maharashtrian,,,Low
468,Bunk Junk,Salad,Sandwich,Healthy Food,High
469,Maruti Pav Bhaji,Street Food,,,Low
470,Oh Dough,Bakery,Desserts,,High
471,Theeram,Biryani,South Indian,Kerala,High
472,Pangat,North Indian,Chinese,Biryani,High
473,Ganga Vihar,North Indian,South Indian,Chinese,High
474,D.P'S,South Indian,Fast Food,Chinese,Low
475,Bubble Bee,Desserts,,,Low
476,Cafe Vrindavan Pure Vegetarian,North Indian,Chinese,Italian,High
477,Shreejee'S,South Indian,North Indian,Chinese,High
478,Healthy Treats,Bakery,Desserts,Healthy Food,High
480,Eatalios,Italian,Pizza,Fast Food,High
481,The Noisy Cafe,Cafe,North Indian,Italian,High
482,Bombay Rolls,Rolls,Sandwich,Fast Food,Low
483,Om Snacks,Beverages,Fast Food,Pizza,Low
484,Bonnie'S Bakery,Bakery,Desserts,,Low
485,En'Creo,Continental,Mediterranean,Burger,High
486,The Class Thali,North Indian,Gujarati,,High
487,Konark Veg Diet,North Indian,Chinese,South Indian,High
488,The Herbiary,Healthy Food,Juices,Sandwich,High
489,Choice Snacks Parlour,Fast Food,Beverages,Desserts,High
490,Parivar,Chinese,Fast Food,North Indian,High
491,Shaan  E Lucknow Tunday Kabab,Mughlai,,,Low
492,Ravindra Restaurant,North Indian,South Indian,Chinese,Low
493,Curry Twist,North Indian,Continental,Asian,High
494,Dynasty,Chinese,,,High
496,The White Creme,Desserts,Bakery,,High
497,The Village Shop,Cafe,Healthy Food,Salad,High
498,Sasa Chillout,Lebanese,Fast Food,,Low
499,Myra Dining & Bar,Seafood,Malwani,Chinese,High
500,41 Park Street,Rolls,,,Low
501,Sagar Fine Dine,Continental,Italian,Chettinad,High
502,Indichef,North Indian,Mughlai,Biryani,Low
503,Pomona,Cafe,Italian,Continental,Low
504,Farmville Cafe,Coffee,Healthy Food,Salad,High
505,Juice Lounge,Beverages,Fast Food,,High
506,Dario'S,Cafe,Italian,Coffee,High
507,Tibbs Frankie,Rolls,,,Low
508,New Lazeez Restaurant,North Indian,Mughlai,Fast Food,High
509,Raj Restaurant,Chinese,North Indian,Mughlai,Low
510,Cafe Jumbo,Chinese,North Indian,Mughlai,High
512,Deepa Restaurant & Bar,North Indian,Chinese,,High
513,Mumbai Creams,South Indian,Continental,Desserts,High
514,Red Box Cafe,Italian,Fast Food,Continental,High
515,Country Of Origin,Bakery,Desserts,,Low
516,Hotel Shahi Darbar,North Indian,Mughlai,,High
517,21St Century Pizzeria,Pizza,Italian,Fast Food,High
518,Henry'S Kitchen,Chinese,Seafood,,High
519,Hotel Sun Inn,Chinese,North Indian,,High
520,Temptations,Desserts,Ice Cream,,High
521,Mahesh Resto Bar,North Indian,Chinese,Seafood,High
522,On The House,Chinese,Asian,Thai,High
523,Aarohii Homemade Chocolates,Desserts,,,Low
524,Togo,North Indian,Asian,Italian,High
525,Chickenwalla,North Indian,South Indian,Beverages,High
526,Hokey Pokey,Desserts,Ice Cream,,Low
528,Happy Singh Da Dhaba,North Indian,,,High
529,Bbq Republic,BBQ,American,Healthy Food,Low
530,Gps Foods,Chinese,Thai,,Low
531,Bombay Shakers,Beverages,,,Low
532,Nawabz,North Indian,Rolls,,Low
533,Box99,North Indian,Fast Food,,High
534,Kule'S  Kitchen,Chinese,North Indian,,Low
535,Hotel Saideep Family Restaurant & Bar,Chinese,North Indian,Biryani,High
536,Maiz Mexican Kitchen,Mexican,Salad,,High
537,Snowbite Natural Ice Cream,Ice Cream,,,Low
538,Hoddogs,Burger,Fast Food,,Low
539,Madhuram,Chinese,North Indian,South Indian,High
540,Sudama Snacks & Juices,Street Food,Chinese,Fast Food,Low
541,Sigree,North Indian,Mughlai,,High
542,Somethings Fishy - Regenza By Tunga,Seafood,North Indian,Goan,High
544,Icekraft,Desserts,Ice Cream,Fast Food,Low
545,Chenab,North Indian,Kebab,Seafood,High
546,Mira Republic,North Indian,Chinese,Continental,High
547,Open House Cafe And Bar,Continental,North Indian,Chinese,High
548,Havana Café & Bar - The Gordon House Hotel,Mexican,European,Spanish,High
549,Amar Juice Centre,Street Food,South Indian,Beverages,High
550,Pizza Caprina,Fast Food,Pizza,,High
551,91 Rosewood Villa,Chinese,Continental,Mexican,High
552,Candy And Green,Asian,Italian,Continental,High
553,Red Olives,North Indian,Continental,Chinese,High
554,Bombay Coffee House,Cafe,American,Desserts,High
555,Chocolateria San Churro,Cafe,Desserts,,High
556,Rainforest Resto-Bar,Chinese,North Indian,Italian,High
